piRNA	log2FoldChange	padj
piR-dre-10953	-1.097443729	0.205483535
piR-dre-1195219	-1.120886312	0.205483535
piR-dre-53083	-1.102219971	0.205483535
piR-dre-66179	-1.048257428	0.206700428
piR-dre-1753	1.759642587	0.206727242
piR-dre-59466	2.347781816	0.207660967
piR-dre-300068	1.648187998	0.207859333
piR-dre-76761	-4.185694825	0.208819449
piR-dre-34663	-1.053687767	0.209795811
piR-dre-37323	1.420899444	0.210343656
piR-dre-23093	1.857762398	0.210343656
piR-dre-69995	2.777892851	0.210343656
piR-dre-659778	-1.65748	0.210343656
piR-dre-88047	2.147411047	0.210343656
piR-dre-6241	2.749352037	0.210343656
piR-dre-12100	-1.83520835	0.210343656
piR-dre-731435	-2.228503953	0.210343656
piR-dre-5669	-1.742304579	0.210343656
piR-dre-26045	1.066287974	0.2104614
piR-dre-46320	1.354468086	0.2104614
piR-dre-10564	1.354468086	0.2104614
piR-dre-18767	1.696530173	0.2104614
piR-dre-41778	2.453210752	0.2104614
piR-dre-5137	-2.994850883	0.2104614
piR-dre-75331	2.537181323	0.210826214
piR-dre-36864	1.183492021	0.211976191
piR-dre-27917	1.821926007	0.211976191
piR-dre-44637	1.355027838	0.211976191
piR-dre-1288	-1.033369335	0.211976191
piR-dre-21717	1.439133337	0.211976191
piR-dre-7414	-1.084959688	0.211976191
piR-dre-612773	-2.394784261	0.211976191
piR-dre-614389	-1.206256374	0.211976191
piR-dre-729967	-1.832534866	0.211976191
piR-dre-42709	-1.832534866	0.211976191
piR-dre-37763	-1.8436868	0.211976191
piR-dre-491288	-1.832534866	0.211976191
piR-dre-65477	2.242549735	0.212004565
piR-dre-7917	-1.811233399	0.212004565
piR-dre-529300	2.478951549	0.212004565
piR-dre-556653	3.22471543	0.212004565
piR-dre-49090	-1.960765542	0.212004565
piR-dre-7477	-1.765121647	0.212880952
piR-dre-127045	1.384799805	0.213013348
piR-dre-678396	-1.210389842	0.21307143
piR-dre-1318514	-2.337823796	0.21307143
piR-dre-9613	1.605198717	0.213203807
piR-dre-23640	-1.149987297	0.214219503
piR-dre-53853	2.218800173	0.217890227
piR-dre-13392	1.640473232	0.218910158
piR-dre-543046	1.563364226	0.219036015
piR-dre-61370	-3.797309117	0.219631715
piR-dre-11746	-1.307519348	0.220006654
piR-dre-7792	-1.477658129	0.220006654
piR-dre-75577	-1.084839289	0.221226567
piR-dre-565317	-4.090209893	0.221226567
piR-dre-45546	1.785219457	0.221543832
piR-dre-1082528	2.313726239	0.222149198
piR-dre-2334	-1.308480968	0.222149198
piR-dre-31534	1.517298372	0.224885517
piR-dre-75850	2.456426895	0.22497186
piR-dre-38332	2.083551747	0.225637943
piR-dre-69988	2.26239016	0.225637943
piR-dre-52634	-3.18706128	0.225637943
piR-dre-35118	-2.038873377	0.225637943
piR-dre-491707	-1.188406332	0.226394926
piR-dre-1101	2.504423717	0.226394926
piR-dre-11903	-0.962100593	0.226690725
piR-dre-14040	1.956497536	0.226690725
piR-dre-35747	1.922464219	0.230058721
piR-dre-2939	-2.069343273	0.230058721
piR-dre-42083	1.333017536	0.230058721
piR-dre-4275	3.952376847	0.230058721
piR-dre-6435	-1.135219798	0.230058721
piR-dre-52306	1.384805564	0.230058721
piR-dre-515935	2.073499915	0.230058721
piR-dre-539292	-1.189340661	0.230058721
piR-dre-656251	-1.778270933	0.230058721
piR-dre-602922	-2.193359679	0.230058721
piR-dre-72026	-2.626419177	0.230058721
piR-dre-59897	-2.403779815	0.230058721
piR-dre-65591	-3.329254783	0.230058721
piR-dre-1071969	-1.755588402	0.232063232
piR-dre-40945	1.716435386	0.233476667
piR-dre-79410	-2.462933316	0.233689363
piR-dre-21189	2.124322316	0.234887758
piR-dre-4024	-1.320732199	0.235143009
piR-dre-45454	1.960108953	0.23591575
piR-dre-13324	-3.703056511	0.23591575
piR-dre-4023	-1.308177021	0.236080362
piR-dre-14815	1.791623745	0.236080362
piR-dre-60625	-1.291599105	0.236416943
piR-dre-19901	-1.786677274	0.236416943
piR-dre-43719	2.232110774	0.240720443
piR-dre-12253	-2.765147039	0.243098372
piR-dre-25673	1.865629467	0.246948637
piR-dre-11254	-1.160581891	0.246948637
piR-dre-46029	-1.098426396	0.248628787
piR-dre-43084	-2.565068559	0.248628787
piR-dre-26298	-1.470269845	0.248870027
piR-dre-5196	-1.887063646	0.249378973
piR-dre-8144	1.588706389	0.250683218
piR-dre-24121	-2.066321611	0.250683218
piR-dre-1137344	-2.363947789	0.250824991
piR-dre-2333	-1.266419681	0.252435967
piR-dre-11136	-0.941166162	0.253257796
piR-dre-63588	-2.110534682	0.25335703
piR-dre-556232	2.032662189	0.253802973
piR-dre-29846	-1.132940836	0.257195125
piR-dre-58467	1.36871142	0.257195125
piR-dre-19229	-2.279084684	0.25949372
piR-dre-133234	-1.786396868	0.259974075
piR-dre-75227	2.713256254	0.260921918
